评论内容,fenci,主题概率,主题类型
这家民宿态度极其恶劣具体可以翻翻店家对其他评论的回复充满傲慢、无礼以及嚣张我们是11号入住的，临走时一瓶未开封的红酒留在了冰箱，并不是什么大事，住过的所有酒店都会有工作人员对全屋客人遗留的所有物资进行清查回电。而这家酒店一是连拖几点都不回复，直到今天我们说要求阿姨赔偿才说阿姨把酒放在了仓库。然后先开始对我们“说教” 让我们长点记性 再是推脱责任给阿姨其次是说这是民宿不是酒店最后一句 “这件事到此为止不要再说了”想把我们嘴巴堵死做不了酒店就不要做酒店 民宿也是酒店民宿就可以无法无天？民宿就可以对待客人态度恶劣至极？民宿就可以不按酒店规章流程给客人一个良好的体验总得来说 房间不错 侧过身现在窗户角落勉强能看到橘子洲中部但是不习惯店家态度嚣张以及做不到帮店家把他们该尽的义务尽了的朋友还是尽量选择其他酒店，长沙不缺这种酒店，价格更优惠态度更亲和视觉更震撼。,民宿 态度 恶劣 翻翻 店家 评论 回复 充满 傲慢 无礼 嚣张 入住 开封 红酒 留在 冰箱 酒店 工作人员 全屋 客人 物资 回电 酒店 回复 赔偿 把酒 放在 仓库 说教 长点 记性 推脱 责任 民宿 酒店 嘴巴 堵死 做不了 酒店 酒店 民宿 酒店 民宿 民宿 客人 态度恶劣 至极 民宿 酒店 规章 流程 客人 体验 房间 不错 窗户 角落 勉强 习惯 店家 态度 嚣张 不到 店家 义务 朋友 选择 酒店 酒店 价格 态度 视觉 震撼,"[(1, 0.98752475)]",1
酒店很干净，能看得出房间是真的有被打扫过，而且有备马桶垫，有浴缸的房间还有浴缸垫！这次订了3个房间，到了就赶紧又续了一晚。很棒的酒店,酒店 干净 看得出 房间 打扫 马桶 浴缸 房间 浴缸 房间 很棒 酒店,"[(7, 0.9289911)]",7
很满意,满意,"[(0, 0.038461782), (1, 0.038461972), (2, 0.038462132), (3, 0.038462356), (4, 0.038462494), (5, 0.038461734), (6, 0.5384557), (7, 0.03846213), (8, 0.038461868), (9, 0.038461827), (10, 0.038461983), (11, 0.03846212), (12, 0.038461898)]",6
新开的江景房很漂亮房间装修很别致管家的服务也很好基本上是有求必应来长沙旅游真的是很方便，在很高档的写字楼里面环境特别好超值，续住可以打9折我们在这里住了几天,新开 江景 很漂亮 房间 装修 别致 管家 写字楼 环境 超值 续住,"[(10, 0.9230718)]",10
房间卫生十分干净，老板很好很贴心，入住手续简单快捷，有问题都会随时解决，房间地理位置很绝，离冬瓜山仅一条街，天宝兄弟就在楼下，吃完可以在湘江边逛一圈消消食，一百分推荐！冲冲冲！,房间 卫生 干净 老板 贴心 入住 手续 简单 快捷 解决 房间 地理位置 冬瓜 一条街 兄弟 消食 推荐,"[(7, 0.9487124)]",7
房间特别满意 就是看上图片才选择入住 果然没失望 自助办理手续 不需要吧台 下次来长沙 肯定还要入住,房间 满意 图片 选择 入住 失望 自助 办理手续 吧台 肯定 入住,"[(4, 0.9230737)]",4
房间很大  干净卫生  有冰箱和厨房   适合带孩子来住  对面能看见江景  非常不错  老板人很好  耐心解释  及时解决问题  希望有机会再来,房间 很大 干净 卫生 冰箱 厨房 适合 孩子 来住 对面 江景 不错 老板 耐心 解释 解决问题 希望 机会,"[(7, 0.951413)]",7
民宿房间和预定界面图片一致，非常好！位置也非常好对面就是冬瓜山，楼下就是天宝兄弟！还是可以眺望橘子洲头的江景房，非常推荐！,民宿 房间 预定 界面 图片 位置 对面 冬瓜 兄弟 眺望 江景 推荐,"[(3, 0.50280535), (10, 0.4321004)]",3
忘记拍照啦，地理位置特别好，进去的空间也很大，阿姨收拾的很干净，还有洗衣机可以洗衣服，客服态度也特别好，总的来说特别满意，下次来长沙还会再订！,忘记 拍照 地理位置 空间 很大 收拾 干净 洗衣机 洗衣服 客服 态度 满意 再订,"[(2, 0.08950057), (7, 0.85005385)]",7
房间空间大，和同事两个住的非常舒服，服务很好，主要交通也非常方便，旁边就是冬瓜山美食小吃街，吃的也舒服,房间 空间 同事 舒服 交通 冬瓜 美食 小吃街 舒服,"[(8, 0.90768605)]",8
线上前台，方便，刚好遇上长沙烟花表演，客服服务非常用心地标好观看方向，房间干净，没有异味，厕所还配一次性马桶套,前台 遇上 烟花 表演 客服 用心 地标 观看 方向 房间 干净 异味 厕所 马桶,"[(2, 0.938456)]",2
房间干净整洁～住的舒服。窗外对面是橘子洲头，看得到夜游船，楼下是天宝兄弟，虽然排不上号，但是地理位置是很好的。,房间 干净 整洁 舒服 对面 游船 兄弟 排不上 地理位置 很好,"[(5, 0.9160799)]",5
环境优美，设施齐全，睡的很不错，挺安静的，服务很好，酒店床很舒服，房间超干净，投影也好棒,环境优美 设施 不错 酒店 舒服 房间 干净 投影,"[(6, 0.35475987), (7, 0.55121976)]",7
房间主题很特别，环境很好，服务也很好，下次还住这里。,房间 主题 环境,"[(0, 0.019232381), (1, 0.76921374), (2, 0.019232163), (3, 0.019232161), (4, 0.019232202), (5, 0.019232117), (6, 0.01923213), (7, 0.019232266), (8, 0.019232282), (9, 0.019232154), (10, 0.019232107), (11, 0.019232122), (12, 0.019232174)]",1
全程无接触入住，住宿环境比较安静，室内干净整洁。位置也比较好找，在冬瓜山对面。服务：店家服务相当到位,接触 入住 住宿 环境 干净 整洁 位置 好找 冬瓜 对面 店家 到位,"[(8, 0.9289905)]",8
房间温馨舒服，店家非常有耐心，下次过来会继续入住。,房间 舒服 店家 耐心 入住,"[(0, 0.0128209535), (1, 0.0128208995), (2, 0.012821671), (3, 0.012820884), (4, 0.012820855), (5, 0.01282088), (6, 0.012820846), (7, 0.012820968), (8, 0.8461483), (9, 0.012820876), (10, 0.012820865), (11, 0.012820875), (12, 0.012821054)]",8
环境和服务都挺好的,环境 挺好,"[(0, 0.025641976), (1, 0.025642142), (2, 0.025641818), (3, 0.025641836), (4, 0.69229656), (5, 0.025642477), (6, 0.025641907), (7, 0.025641887), (8, 0.02564197), (9, 0.025641834), (10, 0.025641894), (11, 0.025641857), (12, 0.025641827)]",4
房间比较干净卫生，入住舒适，距离办事交近，很方便。,房间 干净 卫生 入住 舒适 距离 办事 交近,"[(12, 0.89742965)]",12
以后不会再住了，到别处住宿停车费全免，这里的停车费1夜50元，店家补20元，自己要出30元。第一次遇到这种不痛快。,住宿 停车 停车费 店家 要出 痛快,"[(0, 0.86811984), (1, 0.010989985), (2, 0.010990085), (3, 0.010989942), (4, 0.010989902), (5, 0.010989892), (6, 0.010989896), (7, 0.01099006), (8, 0.0109899705), (9, 0.010989921), (10, 0.010990081), (11, 0.010989956), (12, 0.010990504)]",0
房间环境非常好，老板服务态度也很好，第一次使用这种非接触入住，老板很细心，还特意升级了我的房间。,房间 环境 老板 服务态度 接触 入住 老板 细心 房间,"[(0, 0.9076893)]",0
房间宽敞，干净清爽，下次来还会考虑入住。有地下停车场，离热门景点很近的车程，满意！,房间 宽敞 干净 清爽 入住 停车场 热门 景点 车程 满意,"[(0, 0.91607696)]",0
房间布置温馨，全自助式入住退房，操作方便，店家服务态度好,房间 布置 入住 退房 操作 店家 服务态度,"[(8, 0.88460666)]",8
还不错  楼下就是天宝兄弟   私密性也很好  就是投影仪一般,不错 兄弟 私密性 投影仪,"[(0, 0.015385951), (1, 0.015385876), (2, 0.015385866), (3, 0.015385895), (4, 0.015385838), (5, 0.015386179), (6, 0.015386104), (7, 0.015386002), (8, 0.015385966), (9, 0.8153686), (10, 0.015385925), (11, 0.015385826), (12, 0.015386008)]",9
就是普通的公寓酒店 简简单单 也没啥特别的 不过位置很好,公寓 酒店 位置,"[(0, 0.019231228), (1, 0.019231502), (2, 0.01923144), (3, 0.019231165), (4, 0.019231297), (5, 0.019231379), (6, 0.019231267), (7, 0.01923124), (8, 0.019231407), (9, 0.01923128), (10, 0.019231329), (11, 0.7692241), (12, 0.019231396)]",11
"位置很好，出入十分方便 卫生很棒, 房间床用品很赞",位置 出入 卫生 很棒 房间 用品,"[(0, 0.010989768), (1, 0.010989825), (2, 0.010989817), (3, 0.010989742), (4, 0.010989798), (5, 0.010989822), (6, 0.010989704), (7, 0.01098984), (8, 0.86812246), (9, 0.010989718), (10, 0.010989698), (11, 0.010990046), (12, 0.010989775)]",8
环境不错，位置很好找！交通也比较方便，去哪里都很近！,环境 不错 位置 好找 交通,"[(0, 0.012820796), (1, 0.0128208315), (2, 0.012820766), (3, 0.012820746), (4, 0.0128208315), (5, 0.012820777), (6, 0.012820936), (7, 0.012820809), (8, 0.8461503), (9, 0.012820805), (10, 0.012820836), (11, 0.012820815), (12, 0.012820803)]",8
环境很好，房间非常干净舒适,环境 房间 干净 舒适,"[(0, 0.015384877), (1, 0.015384956), (2, 0.015384855), (3, 0.015384805), (4, 0.015384949), (5, 0.015384887), (6, 0.015384892), (7, 0.015384946), (8, 0.8153814), (9, 0.01538485), (10, 0.015384793), (11, 0.01538484), (12, 0.015384894)]",8
房间干净整洁，很好,房间 干净 整洁,"[(0, 0.019231137), (1, 0.01923119), (2, 0.019231245), (3, 0.019231144), (4, 0.019231122), (5, 0.76922554), (6, 0.019231215), (7, 0.019231398), (8, 0.019231353), (9, 0.019231215), (10, 0.019231077), (11, 0.019231156), (12, 0.019231217)]",5
环境卫生都不错。,环境卫生 不错,"[(0, 0.025642207), (1, 0.025641995), (2, 0.025641905), (3, 0.02564205), (4, 0.025643175), (5, 0.0256419), (6, 0.025642585), (7, 0.025641875), (8, 0.69229424), (9, 0.025642011), (10, 0.025642151), (11, 0.02564199), (12, 0.025641967)]",8
挺一般的 沙发很脏,很脏,"[(0, 0.5384072), (1, 0.038466025), (2, 0.038466025), (3, 0.038466025), (4, 0.038466025), (5, 0.038466025), (6, 0.038466025), (7, 0.038466513), (8, 0.038466025), (9, 0.038466025), (10, 0.038466025), (11, 0.038466025), (12, 0.038466025)]",0
环境不错位置也好,环境 不错 位置,"[(0, 0.019231135), (1, 0.019231139), (2, 0.019230964), (3, 0.019230925), (4, 0.019231228), (5, 0.019231029), (6, 0.019231329), (7, 0.019230977), (8, 0.76922697), (9, 0.01923103), (10, 0.019231126), (11, 0.019231046), (12, 0.019231074)]",8
商家人很好,商家,"[(0, 0.038471717), (1, 0.03847339), (2, 0.27641), (3, 0.038471717), (4, 0.038471717), (5, 0.038471717), (6, 0.038471717), (7, 0.038472775), (8, 0.30039835), (9, 0.038471717), (10, 0.038471717), (11, 0.038471717), (12, 0.038471717)]",8
住19层，可以看湘江夜景，房间挺大的，冰箱洗衣机都齐全，洗手间也是干湿分离的。每次来长沙都是住在汇景城，因为楼下就是天宝兄弟，对面是冬瓜山，推荐盟重烧烤和宝贝蒸饺，以前盟重旁边还有一家茶颜，上次三月来拆了，现在也还没恢复，有点可惜。南门口什么的骑个车也很方便。,夜景 房间 挺大 冰箱 洗衣机 洗手间 干湿 分离 汇景 兄弟 对面 冬瓜 推荐 盟重 烧烤 蒸饺 盟重 恢复 可惜,"[(1, 0.95384234)]",1
卫生非常好！这点超重要！ 然后就是位置确实很好，可以看到橘子洲，视野极佳，没有遮挡物，看着就舒坦。 房间装饰也很好～ 长沙真的好吃的好玩的太多啦！！！！！ 茶颜悦色好喝！比霸王茶姬好喝！哈哈哈哈 米粉好好吃！ 湘菜好好吃！ 空气里都是辣椒的味道～ 国金街附近真的超多人的！！！！,卫生 位置 确实 视野 极佳 遮挡 看着 舒坦 房间 装饰 好吃 好玩 好喝 霸王 好喝 好吃 湘菜 好吃 空气 辣椒 味道 国金,"[(8, 0.9598626)]",8
位置无敌巨好，去长沙主要景点都非常方便，酒店在一个很新的大厦里面，24小时安保，很安全，楼下就有小吃街，好吃价不贵，我们住的那层楼里还有个按摩非常舒服的中医按摩还给打了折，推荐推荐！,位置 无敌 景点 酒店 大厦 小时 小吃街 好吃 不贵 按摩 舒服 按摩 还给 推荐 推荐,"[(11, 0.9423047)]",11
来到长沙让我惊喜的不是橘子洲头，也不是街边美食，而是预定好的这个房间。精致的装修让人心旷神怡，全景落地窗将室外美景尽收眼底，沉溺在其中以至于忘记此行的目的。游玩一天回来躺在舒适的大床上卸去一身的疲惫，安然入睡。愉快的的入住将本次旅行体验拉满，怡然自得，流连忘返，不虚此行！,来到 惊喜 美食 预定 房间 精致 装修 全景 落地窗 美景 忘记 目的 游玩 回来 舒适 床上 卸去 疲惫 入睡 愉快 入住 体验,"[(12, 0.959862)]",12
位置很好找，就在江边附近，拐弯就可以到江边看到橘子洲了，卫生做的也很干净，设备都很新，也是为数不多的宠物友好民宿，常来也可以打折，价格很划算，而且停车也是包了的，过来旅游住处很重要，到国金，五一都很方便,位置 好找 拐弯 卫生 干净 宠物 友好 民宿 打折 价格 划算 停车 包了 住处 国金,"[(2, 0.94230276)]",2
很奈斯，干净整洁，楼层视野很好，当天晚上八点多到的，免费升级了房型。 前台小姐姐很漂亮，服务员也都很有礼貌，价格不贵适中，有来长沙玩的小伙伴，推荐入住。,干净 整洁 楼层 视野 房型 前台 很漂亮 服务员 礼貌 价格 适中 小伙伴 推荐 入住,"[(11, 0.93845713)]",11
真的很不错哦，卫生真的很干净，都是新的 ，细节也做的很到位，前台帅哥很好说话，服务超好，额外需要的都能该到帮助，升级房型，空调效果又好，真的住的很舒服！给这家店打100分！！！下次一定还来这里,不错 卫生 干净 细节 到位 前台 说话 超好 房型 空调 效果 舒服,"[(1, 0.65164053), (3, 0.2832634)]",1
520来长沙旅游，订的这家酒店，位置超级好，窗户对面就是湘江，名副其实的江景房。房间很新很干净，没有异味，装修的很漂亮。房间的设施都是智能化的，用起来都很方便，厕所干湿分离，阳台还有浴缸可以泡澡。前台小哥哥态度很好，什么需求都能满足。总的来说这家酒店我夸爆好吧，大家放心冲冲冲！,酒店 位置 窗户 对面 江景 房间 干净 异味 装修 很漂亮 房间 设施 厕所 干湿 分离 阳台 浴缸 泡澡 前台 态度 需求 酒店 爆好 放心,"[(1, 0.96307397)]",1
酒店刚装修不久，干净卫生，设施齐全，冰箱洗衣机一应俱全。位置好，附近小吃很多，出行方便，楼下就有共享电动车还有公交车站。服务态度很好，是一家值得推荐的民宿！,酒店 装修 干净 卫生 设施 冰箱 洗衣机 位置 小吃 出行 共享 电动车 公交车站 服务态度 值得 推荐 民宿,"[(5, 0.9487154)]",5
朋友来长沙，想找个相对安静点的地方，网上搜了一下这家店映入眼帘，精致的设计风格和理念深得人心，而且高空江景真的绝绝子，果断被吸引，平日出行，性价比也很高，离五一广场很近，楼下就是网红小龙虾，对面冬瓜山夜市一条街，超多好吃的，长沙不愧是不夜城，老板人也很好，服务态度一流，超级耐心，还有免费停车，出乎意料呢~如果喜欢安静方便的话真的是不二选择~,朋友 地方 精致 风格 理念 高空 江景 吸引 出行 性价比 网红 对面 冬瓜 夜市 一条街 超多 好吃 不愧 老板 服务态度 一流 耐心 停车 喜欢 选择,"[(10, 0.96449465)]",10
长沙旅行的首选，以后就定这家了，新开的店环境很好，住的江景房，可以看到橘子洲大桥，房间装修都是最新的风格，干湿分离，有的房还有智能控制，很方便，听说十一号橘子洲放烟花了，这里一览无余，可惜要回家了，下次提前预约！,首选 新开 环境 江景 房间 装修 风格 干湿 分离 智能 控制 听说 烟花 可惜 回家 提前 预约,"[(1, 0.9487129)]",1
真的很幸运找到这家酒店   老板人也很好！ 环境真的很棒 还可以做饭 有冰箱  床也很舒服    什么都有  挺好的！ 刚好赶上优惠期   下次有机会还住这   心情都很舒畅！！！忘记拍照了  但是真的值得推荐！,幸运 找到 酒店 老板 环境 很棒 做饭 冰箱 舒服 优惠期 机会 心情 舒畅 忘记 拍照 值得 推荐,"[(10, 0.94871426)]",10
真的非常推荐旅游达人过来这住，这房间设施新还齐全，房间大、卫生干净、重点还有洗衣机和厨房、我还用厨房做了早餐，还用他家的茶具泡茶喝，如果枕头不是这么高就更理想了,推荐 房间 设施 房间 卫生 干净 重点 洗衣机 厨房 厨房 早餐 茶具 泡茶 枕头 理想,"[(7, 0.942302)]",7
偶尔间发现的宝藏民宿，这个地理位置真的不要太方便，江景房太了，180度一线江景哈哈！！ 整体环境来说，非常奈斯，性价比很值！ 房间配套设施很齐全，投影仪方便玩累了回来还能躺着看个电影，综艺啥的，氛围感直接拉满，而且也挺出片的 过了马路就可以到湘江边上去 楼下就有茶颜悦。,发现 民宿 地理位置 江景 房太 江景 整体 环境 性价比 房间 配套 设施 投影仪 玩累 回来 电影 综艺 氛围 马路,"[(7, 0.95384043)]",7
来长沙玩朋友介绍的这个民店，入住酒店看起来很舒适，酒店还提供免费的停车场，房间东西都是新的，床品好舒服的，房间物品齐全，下次还来入住的。,朋友 介绍 民店 入住 酒店 舒适 酒店 提供 停车场 房间 床品 舒服 房间 物品 入住,"[(7, 0.94230247)]",7
超级棒得夜景，房间超大，卫生也很干净 里面什么都有，装修简约舒服！ 无敌江景，没什么好说的，强烈推荐！！！,夜景 房间 超大 卫生 干净 装修 舒服 无敌 江景,"[(9, 0.90768874)]",9
干净整洁的房间，大大的床铺让整个人都松懈下来。或坐或躺，城市的灯光成就了窗外的美景，沉醉其中，就是人间值得。漂亮的老板娘，美丽的江景民宿，下次还选这！,干净 整洁 房间 床铺 灯光 成就 美景 沉醉 人间 值得 漂亮 老板娘 江景 民宿,"[(1, 0.93845546)]",1
房间非常棒，和描述的一样，房间内干净整洁。地理位置靠近湘江边，环境非常好！第一次来长沙旅游，以后来旅游也定这家！,房间 描述 房间内 干净 整洁 地理位置 靠近 环境,"[(7, 0.89742476)]",7
来长沙旅游的，选了好久才找到这家酒店，连住了3晚！ 地理位置非常方便，楼下就是天宝兄弟，房间很安静，窗外还可以看到江景，非常不错，,找到 酒店 连住 地理位置 兄弟 房间 江景 不错,"[(9, 0.8974306)]",9
民宿环境不错，装修风格很喜欢。服务特别好，而且免费帮我们升级到零压大床房，超级喜欢这家民宿。白天玩累了躺床上就可以控制灯和窗帘，无比幸福。还有马桶也是智能的,民宿 环境 不错 装修 风格 喜欢 大床 喜欢 民宿 玩累 床上 控制 窗帘 无比 幸福 马桶 智能,"[(9, 0.9487146)]",9
冬瓜山晚上好热闹，这一块都是夜宵摊，随便吃点小吃都很美味，虽然在市中心，但房间很安静床品也都很舒服，睡的很好，附近的东西也好吃,冬瓜 热闹 小吃 市中心 房间 床品 舒服 很好 好吃,"[(1, 0.5040731), (8, 0.41130546)]",1
这次考试的行程定了这家酒店。位置很好。下楼就是天宝兄弟，老板人超级好，因为考试时间延迟。给我延迟到了下考。推荐～,行程 酒店 位置 下楼 兄弟 老板 延迟 下考 推荐,"[(5, 0.9076872)]",5
位置不错！天宝兄弟同一栋大厦、冬瓜山夜市对面、可以多吃几次宝贝蒸饺和文哥牛肉串,位置 不错 兄弟 大厦 冬瓜 夜市 对面 蒸饺 文哥 牛肉,"[(10, 0.9160776)]",10
房间干净整洁，服务热情周到，办事贴心高效，有需求能尽量满足。为住客着想，提供最佳的服务！下次我们来会再次光临,房间 干净 整洁 办事 贴心 高效 需求 住客 着想 提供 光临,"[(12, 0.9230711)]",12
服务态度好，环境干净卫生，交通出行方便，隔音效果好，离附近的景点都比较近，周围小吃饭店也比较多，推荐入住！,服务态度 环境 干净 卫生 交通 出行 隔音 效果 景点 小吃 饭店 推荐 入住,"[(7, 0.93406105)]",7
很满意，楼下就是冬瓜山夜市，交通方便，房间干净卫生。配了冰箱和洗衣机，下次来长沙还会选这家，看江景非常美！,满意 冬瓜 夜市 交通 房间 干净 卫生 冰箱 洗衣机 江景,"[(7, 0.9160805)]",7
特别舒服，环境好，位置更好，还包免费停车，房间环境很个性，连住了几天。,舒服 环境 位置 停车 房间 环境 个性 连住,"[(8, 0.89742863)]",8
晚上去江边走走比较方便，东瓜山小吃街就在对面位置相当方便！空调给力,走走 小吃街 对面 位置 空调,"[(0, 0.012821607), (1, 0.012821672), (2, 0.012821593), (3, 0.0128216), (4, 0.01282153), (5, 0.012821719), (6, 0.012821568), (7, 0.012821553), (8, 0.84614074), (9, 0.012821559), (10, 0.0128216), (11, 0.012821559), (12, 0.01282171)]",8
非常好的民宿，东西特别干净，都是新的，住起来也特别好，特别特别是湘江的景色特别美。第一次住店可以看这么好的风景，很棒,民宿 干净 景色 住店 风景 很棒,"[(0, 0.010989346), (1, 0.010989428), (2, 0.010989444), (3, 0.010989409), (4, 0.86812705), (5, 0.010989431), (6, 0.010989434), (7, 0.010989469), (8, 0.010989431), (9, 0.010989419), (10, 0.010989345), (11, 0.010989399), (12, 0.01098945)]",4
房间很大，景色很美！卫生很干净！很不错的一次旅行！！！,房间 很大 景色 卫生 干净 不错,"[(0, 0.010989416), (1, 0.010989413), (2, 0.010989418), (3, 0.010989378), (4, 0.010989585), (5, 0.010989422), (6, 0.16391596), (7, 0.71520025), (8, 0.010989481), (9, 0.010989438), (10, 0.010989465), (11, 0.010989398), (12, 0.010989403)]",7
酒店位置在市中心很好找，房间环境也不错！性价比很高,酒店 位置 市中心 好找 房间 环境 不错 性价比,"[(8, 0.89743084)]",8
地理位置绝佳，非常适合来长沙玩，房间很干净整洁，住的很舒服，下次还选这里,地理位置 房间 干净 整洁 舒服,"[(0, 0.012820787), (1, 0.0128208045), (2, 0.012820729), (3, 0.012820741), (4, 0.012820772), (5, 0.0128208725), (6, 0.012820834), (7, 0.84615034), (8, 0.012820887), (9, 0.012820802), (10, 0.0128208315), (11, 0.012820798), (12, 0.012820748)]",7
汇景揽江美宿真的很赞，可以躺在床上看烟花，这种感觉值得拥有，来长沙选择揽江美宿不会让你失望。,汇景 床上 烟花 感觉 值得 拥有 选择 失望,"[(5, 0.89742875)]",5
房间空间很大，坏境很好，位置好，周边有好多好玩好吃的,房间 空间 很大 坏境 位置 好玩 好吃,"[(9, 0.8846087)]",9
老版是单身帅哥，人不错，被事业耽误三好青年。酒店环境不错，值。,老版 单身 不错 事业 耽误 酒店 环境 不错,"[(8, 0.8974275)]",8
房间环境很好 老板很热情 下次还会来住这家,房间 环境 老板 热情,"[(0, 0.0153850615), (1, 0.015385129), (2, 0.015384935), (3, 0.015385015), (4, 0.0153850205), (5, 0.015384908), (6, 0.015384938), (7, 0.81538033), (8, 0.015384963), (9, 0.015384953), (10, 0.01538497), (11, 0.01538497), (12, 0.015384826)]",7
房间很不错，风景也非常美，住的楼层比较高也无遮挡,房间 不错 风景 楼层,"[(0, 0.01538575), (1, 0.015385593), (2, 0.015385645), (3, 0.015385635), (4, 0.015386261), (5, 0.015385583), (6, 0.015385876), (7, 0.015385724), (8, 0.01538585), (9, 0.015385658), (10, 0.8153711), (11, 0.015385714), (12, 0.015385645)]",10
干净整洁舒适  观景特别好 下次还来住,干净 整洁 舒适 观景,"[(0, 0.015385235), (1, 0.015385367), (2, 0.015385279), (3, 0.015385233), (4, 0.015385439), (5, 0.5353908), (6, 0.015385324), (7, 0.015385382), (8, 0.29537067), (9, 0.015385322), (10, 0.015385255), (11, 0.015385265), (12, 0.015385427)]",5
地理位置好，出行非常方便，酒店服务很!,地理位置 出行 酒店,"[(0, 0.019231264), (1, 0.019231418), (2, 0.01923114), (3, 0.019231211), (4, 0.019231321), (5, 0.7692239), (6, 0.019231165), (7, 0.019231994), (8, 0.019231288), (9, 0.019231375), (10, 0.019231318), (11, 0.019231446), (12, 0.019231094)]",5
很满意的公寓，地理位置，环境都不错，隔音很好很安静,满意 公寓 地理位置 环境 不错 隔音,"[(0, 0.0109893475), (1, 0.010989334), (2, 0.010989362), (3, 0.010989368), (4, 0.86812735), (5, 0.010989338), (6, 0.010989562), (7, 0.01098939), (8, 0.010989375), (9, 0.0109894015), (10, 0.010989432), (11, 0.010989391), (12, 0.0109893335)]",4
房间很漂亮，景色很好，老板服务也超到位，五星五星~,房间 很漂亮 景色 老板 到位,"[(0, 0.012821137), (1, 0.012820998), (2, 0.012821047), (3, 0.012821093), (4, 0.3108266), (5, 0.01282105), (6, 0.012820961), (7, 0.54814166), (8, 0.012821084), (9, 0.01282108), (10, 0.012821081), (11, 0.012821136), (12, 0.012821035)]",7
环境，卫生服务各方面超乎我的预期，下次过来还会选择，值得推荐,环境 卫生 超乎 选择 值得 推荐,"[(0, 0.010989533), (1, 0.8681248), (2, 0.010989599), (3, 0.010989614), (4, 0.010989583), (5, 0.010989651), (6, 0.010989557), (7, 0.010989612), (8, 0.010989567), (9, 0.010989639), (10, 0.010989671), (11, 0.010989543), (12, 0.010989665)]",1
房间很新，很干净，老板很热情,房间 干净 老板 热情,"[(0, 0.0153849125), (1, 0.015384935), (2, 0.015384965), (3, 0.015384984), (4, 0.015384759), (5, 0.015384902), (6, 0.015384905), (7, 0.8153811), (8, 0.015384851), (9, 0.015384948), (10, 0.01538488), (11, 0.015384954), (12, 0.015384831)]",7
干净，卫生，服务好，设施齐全,干净 卫生 设施,"[(0, 0.019231217), (1, 0.019231392), (2, 0.019231196), (3, 0.019231064), (4, 0.019230956), (5, 0.019231241), (6, 0.01923111), (7, 0.7692265), (8, 0.019231109), (9, 0.019231081), (10, 0.019231077), (11, 0.019231053), (12, 0.019231023)]",7
很不错！景色很美！住的很舒服 服务到位 推荐,不错 景色 舒服 服务到位 推荐,"[(0, 0.012821029), (1, 0.012821029), (2, 0.012820981), (3, 0.012821027), (4, 0.012821265), (5, 0.012820999), (6, 0.012821139), (7, 0.012821097), (8, 0.012821046), (9, 0.012821085), (10, 0.84614724), (11, 0.0128210345), (12, 0.012821066)]",10
长沙 遇见你真好,遇见,"[(0, 0.038465634), (1, 0.038465634), (2, 0.038465634), (3, 0.038465634), (4, 0.038465634), (5, 0.038465634), (6, 0.038465634), (7, 0.038465634), (8, 0.038465634), (9, 0.038465634), (10, 0.038465634), (11, 0.5384124), (12, 0.038465634)]",11
环境好，设置好，下次还来！,环境,"[(0, 0.03846233), (1, 0.038462613), (2, 0.038461722), (3, 0.0384618), (4, 0.5384557), (5, 0.03846193), (6, 0.038462065), (7, 0.038461994), (8, 0.038462307), (9, 0.038461793), (10, 0.03846202), (11, 0.03846188), (12, 0.038461763)]",4
第一，房间设施与实际情况不符。第二，据说是刚开张的民宿，卫生情况却有点难受，飘窗，桌面，床单被子上随处都有的灰尘，卫生间，洗衣机，冰箱也一样，灰尘，水渍。第三，有一说一，老板态度还是不错，换房，送东西，沟通，都没问题，到位。,房间 设施 情况 不符 开张 民宿 卫生 情况 难受 桌面 床单 被子 灰尘 卫生间 洗衣机 冰箱 灰尘 水渍 老板 态度 不错 沟通 到位,"[(3, 0.9615356)]",3
设施齐全，装修风格新颖，装修很新，紧邻橘子洲，真正的临江房，老板热情，服务态度好，交通便利，出行也比较方便，位置好，离商业街也比较近，吃饭，玩都比较方便，住着很舒服，私密性也比较强，性价比也很高，值得推荐。,设施 装修 风格 新颖 装修 紧邻 老板 热情 服务态度 交通 便利 出行 位置 商业街 吃饭 舒服 私密性 性价比 值得 推荐,"[(7, 0.9560397)]",7
酒店环境可以的，客服人也很，一室户的房型  装修不错，落地窗视野采光都好，住着很舒适～就是刚来不好找，一楼看不到任何酒店标识，需要携程上找酒店客服问,酒店 环境 客服 室户 房型 装修 不错 落地窗 视野 采光 舒适 一楼 看不到 酒店 标识 携程 上找 酒店 客服,"[(8, 0.9538424)]",8
因为带孩子出行，所以对卫生要求比较高，在网上比较了好久选的这家民宿，在一栋商务楼里，楼里都是民宿，周边很安静，离3号线地铁600米左右，出行方便，老板人很好基本有求必应，智能化小管家操控用灯，还有洗衣机，老板给送的洗衣凝珠，非常人性化。 唯一有点瑕疵，护发素瓶上有一根头发。,孩子 出行 卫生 民宿 商务楼 民宿 号线 地铁 出行 老板 管家 操控 洗衣机 老板 给送 洗衣 人性化 瑕疵 护发素 头发,"[(3, 0.95603985)]",3
