评论,fenci,情感分类,主题概率,主题类型
280性能比270有微弱提升；网卡支持802，300带宽可以共享看其他机器里面的720片子不卡；实际应用电池虽然不能到9小时，但是足够一整天的日常使用了；92%键盘舒服。,性能比 微弱 提升 网卡 支持 带宽 共享 机器 片子 不卡 电池 小时 足够 一整天 日常 键盘 舒服,pos,"[(3, 0.85229266), (5, 0.11035586)]",3
恩，机器很好看，键盘不错，还送了内胆包和擦巾，提货后马上去附近麦当劳上网，无线上网效果不错，图形界面很友好，功能齐全。这款电池好，续航时间长。运行还行，散热量不大，继续测试中~~,机器 好看 键盘 不错 内胆 包和 擦巾 提货 麦当劳 上网 无线 上网 效果 不错 图形界面 友好 功能齐全 电池 续航 时间 运行 散热量 测试,pos,"[(3, 0.96496236)]",3
体积小，性能还不错，已经拿到了，呵呵，感觉没有差评里面说得那么玄乎啊，看来还真有枪手。说实话性价比很高，我是个学生，目前正在用她做毕业设计，1内存跑没有任何问题！哈哈，爽，赞京东一个！,体积小 性能 不错 拿到 感觉 玄乎 枪手 说实话 性价比 学生 毕业设计 内存 京东,pos,"[(0, 0.011999157), (1, 0.011982662), (2, 0.012079101), (3, 0.9399448), (4, 0.011987342), (5, 0.012006947)]",3
"1.待机时间长,7-8个小时绝对不是盖的",待机时间 小时,pos,"[(0, 0.055697635), (1, 0.055590488), (2, 0.7215853), (3, 0.05569096), (4, 0.055692554), (5, 0.055743054)]",2
屏幕完美，机器漂亮，传说中待机时间长，还没测试电池,屏幕 完美 机器 漂亮 待机时间 测试 电池,pos,"[(0, 0.021008756), (1, 0.020951213), (2, 0.8951738), (3, 0.02098194), (4, 0.020934256), (5, 0.020950036)]",2
屏不错，，我装很顺利，不知道别人怎么装的；数字键偏软，主要是看重电池，不过到底好不好要多用一段时间才知道,不错 顺利 数字键 偏软 看重 电池 好不好 多用 一段时间,pos,"[(0, 0.01691812), (1, 0.016731841), (2, 0.24267845), (3, 0.016859006), (4, 0.016764417), (5, 0.69004816)]",5
东西不错，外观靓丽，运行速度快，性价比高，配套功能齐全，配件丰富，还送免费的杀毒软件，噪声小，是个比较实用的本本，一般家用或者办公足够了,东西 不错 外观 靓丽 运行 速度 性价比 配套 功能齐全 配件 免费 杀毒软件 噪声 实用 本本 家用 办公 足够,pos,"[(2, 0.7180989), (3, 0.24644126)]",2
装系统一开始不太懂！有点麻烦知道了后！感觉很简单！！！不错！！！,系统 麻烦 感觉 简单 不错,pos,"[(0, 0.02797122), (1, 0.027951578), (2, 0.22628893), (3, 0.027991211), (4, 0.028068075), (5, 0.66172904)]",5
东西不错，烤漆面漂亮，机器运行稳定，速度快。东西不错，烤漆面漂亮，机器运行稳定，速度快。东西不错，烤漆面漂亮，机器运行稳定，速度快。东西不错，烤漆面漂亮，机器运行稳定，速度快。东西不错，烤漆面漂亮，机器运行稳定，速度快。东西不错，烤漆面漂亮，机器运行稳定，速度快。东西不错，烤漆面漂亮，机器运行稳定，速度快。东西不错，烤漆面漂亮，机器运行稳定，速度快。,东西 不错 烤漆 漂亮 机器运行 稳定 速度 东西 不错 烤漆 漂亮 机器运行 稳定 速度 东西 不错 烤漆 漂亮 机器运行 稳定 速度 东西 不错 烤漆 漂亮 机器运行 稳定 速度 东西 不错 烤漆 漂亮 机器运行 稳定 速度 东西 不错 烤漆 漂亮 机器运行 稳定 速度 东西 不错 烤漆 漂亮 机器运行 稳定 速度 东西 不错 烤漆 漂亮 机器运行 稳定 速度,pos,"[(2, 0.84059596), (5, 0.1476586)]",2
性价比高呀，速度快，杜比音效、蓝牙、无线网卡、高清晰的摄像头、内置麦克都不错。机子不重。样式很靓。,性价比 速度 杜比 音效 蓝牙 无线 网卡 高清晰 摄像头 内置 麦克 不错 机子 样式,pos,"[(0, 0.011147416), (1, 0.011186203), (2, 0.9440106), (3, 0.011277324), (4, 0.011163522), (5, 0.011214919)]",2
价格便宜，质量很好，屏幕很好，够我用了。买东西还是别追求高配置，这个本子用起来很不错,价格便宜 质量 屏幕 东西 追求 配置 本子 不错,pos,"[(0, 0.24207254), (1, 0.018727252), (2, 0.43080804), (3, 0.018749284), (4, 0.018688552), (5, 0.27095434)]",2
宝石蓝很漂亮，机器也很稳定，散热不错，没听过风扇响，用了几天没发现任何问题。,宝石蓝 很漂亮 机器 稳定 散热 不错 风扇 几天 发现,pos,"[(0, 0.016760496), (1, 0.016766861), (2, 0.91595554), (3, 0.016876407), (4, 0.016878244), (5, 0.01676246)]",2
无点完美屏、接口丰富（1394、、、红外、蓝牙……）、性能强劲（3 06跑了7000多分，快赶上我的台式机了）、发热量小（跑完3 06机子表面大部分地方都几乎不感觉到热）,无点 完美 接口 红外 蓝牙 性能 强劲 多分 赶上 台式机 发热量 机子 表面 大部分 地方 感觉,pos,"[(2, 0.19141296), (5, 0.7691915)]",5
比我想像的要好很多，且比同价位的上网本强太多了，模样商务气息浓厚，性能也不错。3000多挺值。键盘比较特别，像苹果本。,想像 同价位 上网 模样 商务 气息 浓厚 性能 不错 挺值 键盘 特别 苹果,pos,"[(0, 0.011991068), (1, 0.011976423), (2, 0.0120449625), (3, 0.012071859), (4, 0.9399244), (5, 0.011991302)]",4
价格便宜，做工不差，比前段时间买的东芝332还要好。散热做得不错，时间开的长了也只有左侧手腕处温热，非常难得。摄像头、话筒、一应俱全，这个价位的机器上非常难得。背光显示屏也给人带来惊喜。,价格便宜 做工 前段时间 东芝 散热 不错 时间 左侧 手腕 温热 摄像头 话筒 一应俱全 价位 机器 背光 显示屏 带来 惊喜,pos,"[(2, 0.17407878), (4, 0.79223126)]",4
价位合适，屏幕好，散热不错，开一早上不觉得很热，尤其现在是夏天,价位 合适 屏幕 散热 不错 早上 夏天,pos,"[(0, 0.020957317), (1, 0.020918649), (2, 0.895195), (3, 0.02096239), (4, 0.020993013), (5, 0.020973586)]",2
屏，亮，可视角度大（下方可视效果不好）。,可视 角度 下方 可视 效果 不好,pos,"[(0, 0.023868455), (1, 0.023854867), (2, 0.024001358), (3, 0.88043225), (4, 0.024003701), (5, 0.023839394)]",3
价格好啊，明摆着的。那些装不上的看看我说的。,价格 明摆着 装不上,pos,"[(0, 0.041758712), (1, 0.042147964), (2, 0.04198635), (3, 0.7904677), (4, 0.041872367), (5, 0.041766882)]",3
优点我不说了，说说发现的问题。1、即使硬件是3，由于总线只有800，所以内存降频至800使用   2、请教各位了，调节集成显卡显存的选项在哪里？？？,优点 发现 硬件 总线 内存 降频 请教 调节 集成显卡 显存 选项,pos,"[(0, 0.013977266), (1, 0.01396004), (2, 0.014054494), (3, 0.014146818), (4, 0.01400559), (5, 0.9298558)]",5
宝蓝色的外壳，很漂亮，像索尼一样的键盘，较高档，配置还不错，性价比较高。,宝蓝色 外壳 很漂亮 索尼 键盘 高档 配置 不错 性价比,pos,"[(0, 0.016744066), (1, 0.016753683), (2, 0.016920172), (3, 0.9159972), (4, 0.016743816), (5, 0.016841097)]",3
性价比高，用券后3199入手，装系统听说麻烦直接拿到电脑城里装，20块搞定，不过好像有个亮点。,性价比 用券 入手 系统 听说 麻烦 拿到 电脑 城里 搞定 好像 有个 亮点,pos,"[(0, 0.0119744), (1, 0.0120476335), (2, 0.2590748), (3, 0.16741766), (4, 0.53746825), (5, 0.012017261)]",4
一直认为是高性价比的代名词，本本不错，完美屏，30万像素的摄像头依然很清晰，系统也很好装，至少觉得比惠普的本本好装多了，值得购买。,高性价比 代名词 本本 不错 完美 像素 摄像头 依然 清晰 系统 至少 惠普 本本 好装多 值得 购买,pos,"[(2, 0.95054924)]",2
"帮朋友买的,她犹豫了七八天,终于在18日下定决心,3299,用了张2000-100的券,3199拿下,19日下午就开始断货了.",朋友 犹豫 七八天 终于 下定决心 拿下 下午 断货,pos,"[(0, 0.19289874), (1, 0.018751677), (2, 0.01865074), (3, 0.018556679), (4, 0.018641716), (5, 0.7325005)]",5
屏幕不错，键盘也好用，就是感觉容易进灰尘，以后清理比较麻烦了。加了一条2的三星内存，感觉速度还行，给我这个程序员用还凑合吧。,屏幕 不错 键盘 感觉 灰尘 清理 麻烦 一条 三星 内存 感觉 速度 程序员 凑合,pos,"[(0, 0.01120058), (1, 0.011167759), (2, 0.011279234), (3, 0.011200966), (4, 0.011186321), (5, 0.9439652)]",5
给家里老人买的，具体样子没见,家里 老人 样子,pos,"[(0, 0.40022695), (1, 0.042411055), (2, 0.4307464), (3, 0.042264353), (4, 0.042249173), (5, 0.042102072)]",2
机子还行，替朋友买的,机子 朋友,pos,"[(0, 0.0557295), (1, 0.055771302), (2, 0.720344), (3, 0.055814132), (4, 0.056055486), (5, 0.056285508)]",2
该有的配置都有了，日常办公和家用应该没有问题,配置 日常 办公 家用,pos,"[(0, 0.03348545), (1, 0.51250476), (2, 0.033779677), (3, 0.35287902), (4, 0.033396862), (5, 0.03395425)]",1
"发货很速度,上一天买单,第二天早上货就到家门口了.产品来讲性价比还是不错.若是平常只是为了上网聊天,看看电影,办公的话,肯定是够用了.",发货 速度 买单 第二天 早上 家门口 产品 性价比 不错 平常 上网 聊天 电影 办公 肯定 够用,pos,"[(2, 0.95059913)]",2
帮朋友买的，觉得还不错！性价比高样子也算漂亮，基本性能只要不玩大游戏全能应付。,朋友 不错 性价比 样子 漂亮 性能 游戏 全能 应付,pos,"[(0, 0.016815698), (1, 0.01672402), (2, 0.9157516), (3, 0.016932955), (4, 0.01681944), (5, 0.016956352)]",2
质量还行，屏幕开始有点不习惯，，看久了觉得很不错！！反正这个价格觉得很值！,质量 屏幕 习惯 不错 反正 价格,pos,"[(0, 0.024029268), (1, 0.87990963), (2, 0.024203854), (3, 0.0240065), (4, 0.023968244), (5, 0.023882542)]",1
的品质、服务都很不错，而且本品很超值。样子也算漂亮，基本性能只要不玩大游戏全能应付。,品质 服务 不错 本品 超值 样子 漂亮 性能 游戏 全能 应付,pos,"[(0, 0.39516434), (1, 0.013951206), (2, 0.54874194), (3, 0.014061388), (4, 0.014025577), (5, 0.014055526)]",2
替朋友买的，自己都没见到，但想必宏基不会象我买的那个国货长城笔记本那样下三烂吧,朋友 见到 想必 宏基 国货 长城 笔记本 下三烂,pos,"[(0, 0.9065061), (1, 0.018637402), (2, 0.018777357), (3, 0.018606966), (4, 0.018730944), (5, 0.018741142)]",0
帮朋友买的，1价钱便宜，2，样子也挺漂亮，尽管是14寸的，但设计的样子很精致，挺轻薄的，不想以前的那样看着就笨重的。下面开了个散热口，散热很好，不过硬盘那散热就差了写，整机硬盘那最热。现在朋友是7和双系统，用着挺快的，这个价钱这个配置很值得,朋友 价钱 便宜 样子 漂亮 设计 样子 精致 轻薄 不想 看着 笨重 开了个 散热 散热 硬盘 散热 整机 硬盘 朋友 双系统 挺快 价钱 配置 值得,pos,"[(5, 0.9675896)]",5
这个屏真爽啊，还没发现有什么点。反光也不强。30万像素的摄像头还挺清楚的。电池能用3个小时。,真爽 发现 反光 不强 像素 摄像头 电池 能用 小时,pos,"[(0, 0.016696285), (1, 0.016707445), (2, 0.016823158), (3, 0.91633964), (4, 0.016713915), (5, 0.016719608)]",3
"是正品行货,我花了8元选了圆通快递,效率非常的高,从下单到收货只用了一天,感觉很不错,听说系统很难装就花了50大洋找人装的,现在用起来感觉很不错,速度飞快,还是完美屏的,发票,保修卡什么的都随机收到.感觉京东服务很不错,马上又想买个无线路由器和一个像机, 那位朋友有卷送我一张啊.支持京东.",正品 行货 圆通 快递 效率 下单 收货 只用 感觉 不错 听说 系统 大洋 人装 感觉 不错 速度 飞快 完美 发票 保修卡 随机 收到 感觉 京东 服务 不错 无线 路由器 那位 朋友 一张 支持 京东,pos,"[(2, 0.97591066)]",2
绝对超高的性价比，完美屏，日常办公绝对够用，外观不错，带出去绝对被人误解高档机,超高 性价比 完美 日常 办公 够用 外观 不错 误解 高档,pos,"[(0, 0.015214982), (1, 0.01523075), (2, 0.9237905), (3, 0.015323817), (4, 0.015196385), (5, 0.015243563)]",2
不错的东西，拿回来，第一感觉就是好东西！包装正规，没有拆封！打开外层纸箱，里面是精美的中包装！拿出电脑，真是超我的想象。东西很漂亮！是大厂货的风范，中规中矩，气派不张扬，自己加了根2的3，1066的内存！安装的是深度的系统！半个小时全部搞定。家里的都说这个本本值！我自已有一个200，感觉也差不多，！,不错 东西 回来 第一 感觉 东西 包装 正规 拆封 打开 外层 纸箱 精美 包装 拿出 电脑 想象 东西 很漂亮 大厂 风范 中规中矩 气派 张扬 内存 安装 深度 系统 半个 小时 搞定 家里 本本 已有 感觉,pos,"[(2, 0.97666264)]",2
性价比很高，不经常玩游戏的朋友可以试试，我月份帮同事买了一个联想的，配置基本一致，花了4500。,性价比 玩游戏 朋友 试试 月份 同事 联想 配置 基本一致,pos,"[(0, 0.016871465), (1, 0.91561323), (2, 0.016966522), (3, 0.01682385), (4, 0.016862405), (5, 0.016862517)]",1
性价比太高了，同学一个月前在数码城买花了3800，太超值了。是奔腾4200的，基本上是4000左右本的标配，强烈推荐,性价比 同学 一个月 前在 数码城 超值 奔腾 标配 强烈推荐,pos,"[(0, 0.91516674), (1, 0.016978), (2, 0.016991213), (3, 0.016884327), (4, 0.017080808), (5, 0.016898943)]",0
点： 国际品牌质量让人放心，做工很好。性价比超强点： 国际品牌质量让人放心，做工很好。性价比超强点： 国际品牌质量让人放心，做工很好。性价比超强,国际品牌 质量 放心 做工 性价比 超强 国际品牌 质量 放心 做工 性价比 超强 国际品牌 质量 放心 做工 性价比 超强,pos,"[(1, 0.9558583)]",1
用了一张2000-100，价格很不错了 。,一张 价格 不错,pos,"[(0, 0.04180937), (1, 0.04197605), (2, 0.79069775), (3, 0.04190133), (4, 0.041878913), (5, 0.041736577)]",2
帮朋友买的，不过和我自己买的是同一个型号，反正我感觉这个系列的散热不错的，我的还是独立显卡。,朋友 同一个 型号 反正 感觉 系列 散热 不错 独立 显卡,pos,"[(0, 0.47757635), (1, 0.015344129), (2, 0.46095592), (3, 0.015425672), (4, 0.015334888), (5, 0.015363042)]",0
1、45的处理器，3内存，一定程度上降低了功耗，因此散热表现尚可，但不优秀；,处理器 内存 程度 降低 功耗 散热 表现 尚可 优秀,pos,"[(0, 0.01669428), (1, 0.016743058), (2, 0.016842242), (3, 0.01692483), (4, 0.016733697), (5, 0.91606194)]",5
外观漂亮，键盘很可爱，16：9的屏看电影很爽，新机还是比较静音的，这个价钱买这么个机器还是很不错的。电池续航能力不错。,外观 漂亮 键盘 可爱 屏看 电影 很爽 新机 静音 价钱 机器 不错 电池 续航 能力 不错,pos,"[(2, 0.950629)]",2
因为屏幕是16：9，所以玩游戏或是浏览网页时，字体都超小，看得费劲,屏幕 玩游戏 浏览 网页 字体 费劲,pos,"[(0, 0.023894364), (1, 0.62047184), (2, 0.02413698), (3, 0.023886416), (4, 0.283608), (5, 0.024002478)]",1
比市场价格便宜几百块，质量不错，功能齐全，性能满足普通家庭使用和工作用，散热还可以。,市场 价格便宜 几百块 质量 不错 功能齐全 性能 普通家庭 工作 散热,pos,"[(0, 0.015342197), (1, 0.015311823), (2, 0.015353332), (3, 0.92348295), (4, 0.01528032), (5, 0.015229442)]",3
样子时尚，宝石蓝的外壳彰显个性,样子 时尚 宝石蓝 外壳 彰显 个性,pos,"[(0, 0.023959972), (1, 0.02396496), (2, 0.024071334), (3, 0.024078742), (4, 0.8797875), (5, 0.024137467)]",4
的硬盘，三星的刻录机，友达面板，三星内存，自己买了根尔必达颗粒的，组成双通道，键盘手感不错！ 触摸板很好！ 比较轻薄！,硬盘 三星 刻录机 友达 面板 三星 内存 根尔 必达 颗粒 双通道 键盘 手感 不错 触摸板 轻薄,pos,"[(3, 0.9507175)]",3
拿到个完美屏，比较清晰细腻，背光+16：9看电影不错,拿到 完美 清晰 细腻 背光 电影 不错,pos,"[(0, 0.68209785), (1, 0.02099606), (2, 0.021173501), (3, 0.23380002), (4, 0.020952629), (5, 0.020979939)]",0
整体还可以，就是不配系统，安装系统不方便，换了几个系统。呵呵……,整体 不配 系统 安装 系统 几个 系统,pos,"[(0, 0.020905113), (1, 0.021023389), (2, 0.021039706), (3, 0.020939322), (4, 0.41933265), (5, 0.49675983)]",5
开机20分钟触摸板能烫伤手指，仔细检查风扇不转，用力一吹嘿又转了，重启又不行了。通过几天观察风扇转与不转真是冰火两重天,开机 分钟 触摸板 烫伤 手指 仔细检查 风扇 用力 重启 不行 几天 观察 风扇 转与 冰火 两重天,pos,"[(3, 0.9504042)]",3
做工出色  ,做工 出色,pos,"[(0, 0.056117054), (1, 0.056384776), (2, 0.056351013), (3, 0.71903163), (4, 0.055825453), (5, 0.056290064)]",3
本子不错，价格便宜，发热不大，功能齐全，完全能满足家庭娱乐和普通用处了。,本子 不错 价格便宜 发热 功能齐全 家庭 娱乐 用处,pos,"[(0, 0.01869599), (1, 0.01866263), (2, 0.018782755), (3, 0.5832638), (4, 0.34175053), (5, 0.018844254)]",3
"不完游戏,日常使用这个配置不错了,键盘比较舒服.装系统还是比较方便的.先改跟光驱第一启动,装完系统再用的驱动改回",游戏 日常 配置 不错 键盘 舒服 系统 光驱 第一 启动 装完 系统 再用 驱动,pos,"[(0, 0.011172371), (1, 0.011221559), (2, 0.011240519), (3, 0.16913554), (4, 0.52626896), (5, 0.27096105)]",4
整体感觉不错，一般用用的话完全足够了。装系统也不费劲，先进到下面把改成，再设置光驱启动（这个跟原来不到一样，在下面按5或6把第二项调到第一个），我用的番茄花园，直接就装上了。再用送的光盘挨个装驱动就可以了,整体 感觉 不错 足够 系统 费劲 先进 改成 设置 光驱 启动 不到 第二项 第一个 我用 番茄花园 装上 用送 光盘 驱动,pos,"[(4, 0.95991606)]",4
本子性能办公够用，屏幕清晰，键盘手感很好，接口基本完好。不知道质量到底怎样，靠时间说话了。提心吊胆得一个月吧。,本子 性能 办公 够用 屏幕 清晰 键盘 手感 接口 完好 质量 时间 说话 提心吊胆 一个月,pos,"[(0, 0.010475373), (1, 0.010592927), (2, 0.9473811), (3, 0.010499642), (4, 0.010552179), (5, 0.010498851)]",2
"屏幕不错,没有坏点；；键盘舒服；装机器中的光盘都有驱动；京东发货快",屏幕 不错 坏点 键盘 舒服 机器 光盘 驱动 京东 发货,pos,"[(0, 0.01545851), (1, 0.015306251), (2, 0.55664635), (3, 0.38192388), (4, 0.015255077), (5, 0.015409943)]",2
帮老婆买的，外观漂亮，女孩子用用足够了，感觉比我的小黑好看：），带驱动盘，换也很方便，就是3内存加的话比较贵，先用用也够了。发热有点大！,老婆 外观 漂亮 女孩子 足够 感觉 小黑 好看 驱动 内存 用用 发热,pos,"[(0, 0.012932065), (1, 0.012934102), (2, 0.2004473), (3, 0.0129353115), (4, 0.01294843), (5, 0.74780285)]",5
整体都还不错！键盘真的很喜欢，我一直用苹果，这个键盘有些访本本的，做的手感用惯其他的本的人可能不习惯，但时间长了，你就喜欢上了，很简洁现代！屏幕真的不赖！,整体 不错 键盘 真的 喜欢 苹果 键盘 本本 手感 用惯 习惯 时间 喜欢 简洁 屏幕 真的 不赖,pos,"[(2, 0.5634004), (4, 0.39920363)]",2
外观挺好的，比照片漂亮。重量轻，屏幕好，发热也不大，风扇隔一会转一下，声音也不大。用萝卜家园笔记本专用版3装了系统，支持硬盘，不用改成兼容模式。只有无线网卡没驱起来，用了机器自带的驱动盘就解决了。总的来说这机器挺超值的。,外观 照片 漂亮 重量轻 屏幕 发热 风扇 一会 声音 萝卜 家园 笔记本 专用版 系统 支持 硬盘 不用 改成 兼容 模式 无线 网卡 机器 自带 驱动 解决 机器 超值,pos,"[(0, 0.58790386), (2, 0.25753382), (5, 0.13714932)]",0
1、配置足以满足我的需要；2、屏幕完美，整机外观不错；3、发热还行，没说的那严重；4、声音效果还行；5、键盘按着舒服；6、装后机器中的光盘都有驱动，好像不缺什么驱动，装时在客服的指导下很顺利，就是下装的，不知道是否慢了。反正没感觉出来,配置 足以 屏幕 完美 整机 外观 不错 发热 没说的 声音 效果 键盘 按着 舒服 装后 机器 光盘 驱动 好像 缺什么 驱动 装时 客服 指导 顺利 下装 反正 感觉,pos,"[(0, 0.5144457), (3, 0.06255644), (5, 0.40559095)]",0
ＬＥＤ屏还真是不错，还没去自提就降了１００真是不错又省了一点呵呵，提货回家一看又降了３３有点郁闷，太不保值了．可能是为了打压对手呵呵无货了嘛！,不错 没去 自提 不错 一点 提货 回家 一看 郁闷 保值 打压 对手 无货,pos,"[(0, 0.012036524), (1, 0.012041171), (2, 0.93970364), (3, 0.01210292), (4, 0.012115873), (5, 0.011999883)]",2
电池续航能力强；重量比想象的轻便；键盘用起来手感比较舒服；至少暂时静音效果好，几乎听不到硬盘的噪声。,电池 续航 能力 重量 想象 轻便 键盘 手感 舒服 至少 暂时 静音 效果 不到 硬盘 噪声,pos,"[(3, 0.95068777)]",3
这是我买的第一个本本，原本想定东芝的，但是没有货，这款宽屏的很漂亮，打开看到不是纯黑的，是有点深炫蓝的，很喜欢。装比较麻烦，弄了一半蓝屏了，也没有显示分区提示，还是咨询了客户才搞定了。噪音很小，不错，音质也好。,第一个 本本 原本 想定 东芝 这款 很漂亮 打开 喜欢 麻烦 一半 蓝屏 显示 分区 提示 咨询 客户 搞定 噪音 很小 不错 音质,pos,"[(2, 0.3028093), (4, 0.6679681)]",4
性价比高，风扇声音较小，使用风扇基本不响，第一个本，满意,性价比 风扇 声音 风扇 第一个 满意,pos,"[(0, 0.024017166), (1, 0.024126757), (2, 0.8796883), (3, 0.024063578), (4, 0.023929898), (5, 0.024174307)]",2
"外表颜色是藏青色的,比我原来看的照片黑色的要好看.",外表 颜色 藏青色 照片 黑色 要好看,pos,"[(0, 0.024111705), (1, 0.024326317), (2, 0.023905016), (3, 0.023934027), (4, 0.8797695), (5, 0.02395345)]",4
内存用的不错，居然是1 3的，样子有点仿的，摄像头和麦克风都有，配置比较齐全,内存 不错 样子 仿的 摄像头 麦克风 配置 齐全,pos,"[(0, 0.018597573), (1, 0.018604783), (2, 0.30721235), (3, 0.61824906), (4, 0.018671295), (5, 0.018664937)]",3
性价比还好，重量较轻（比想象中轻）；由于使用了14寸16：9的显示器，显示效果有所改观，运用了的节电技术，电池续航能力有所提升，仿巧克力式键盘用起来比较舒服。,性价比 还好 重量 想象 中轻 显示器 显示 效果 改观 节电 技术 电池 续航 能力 提升 巧克力 键盘 舒服,pos,"[(2, 0.3393755), (3, 0.62528354)]",3
外形不错，接口基本满意，屏幕够好，整体配置在入门机器范围还是属于较好的。发热量我自己还是能够接受，但是还是买了一个散热器。,外形 不错 接口 满意 屏幕 整体 配置 入门 机器 较好 发热量 接受 散热器,pos,"[(0, 0.560317), (1, 0.01207386), (2, 0.39153263), (3, 0.012007976), (4, 0.011983974), (5, 0.012084618)]",0
"1 屏很漂亮,拿是的完美屏 2 外观也不错 3 接口丰富 4 奥特兰星效果不错 5 512独显不错 6",很漂亮 完美 外观 不错 接口 奥特 兰星 效果 不错 独显 不错,pos,"[(0, 0.013949878), (1, 0.013938166), (2, 0.9301438), (3, 0.014023338), (4, 0.013925505), (5, 0.0140192965)]",2
性价比非常好的一款，推荐购买！,性价比 一款 推荐 购买,pos,"[(0, 0.033843532), (1, 0.033780675), (2, 0.83187926), (3, 0.03343124), (4, 0.03352342), (5, 0.03354183)]",2
质量和服务都不错。我也是听朋友介绍来这里买东西的，总体感觉不错。这也是我第一次网上购物。我的第一次献给我京东。哈哈。,质量 服务 不错 朋友 介绍 东西 总体 感觉 不错 第一次 网上 购物 第一次 献给 京东,pos,"[(0, 0.0105278995), (1, 0.010482422), (2, 0.94747996), (3, 0.0104512805), (4, 0.010536523), (5, 0.010521951)]",2
性价高，发热量大，天冷时可以跑个测试软件来烤手，机器重量控制的也不错。,价高 发热量 天冷 测试软件 机器 重量 控制 不错,pos,"[(0, 0.018657008), (1, 0.018608293), (2, 0.90681005), (3, 0.018677989), (4, 0.018607622), (5, 0.018639015)]",2
有个亮点，倒霉；  看来这款有亮点的电脑不少，而且我的是在中间的位置， 很不爽,有个 亮点 倒霉 这款 亮点 电脑 位置 不爽,pos,"[(0, 0.018617878), (1, 0.5800909), (2, 0.018814003), (3, 0.3451946), (4, 0.018647458), (5, 0.018635191)]",1
外观时尚，配置均衡，机器散热也不错，用了大概一个月，感觉不错，物美价廉。,外观 时尚 配置 均衡 机器 散热 不错 一个月 感觉 不错 物美价廉,pos,"[(0, 0.013981468), (1, 0.014060085), (2, 0.93001586), (3, 0.013975152), (4, 0.013965005), (5, 0.014002413)]",2
前段时间买的4299，没有套装那会，后来又套装还只是4199，申请了价格保护，客服挺耐心，赞一个。虽然这个机子在转系统跟声卡部分比较麻烦，不过现在这个问题在网上已经有人提供了解决方法。,前段时间 套装 套装 申请 价格 保护 客服 耐心 机子 系统 声卡 麻烦 网上 有人 提供 解决 方法,pos,"[(4, 0.95307213)]",4
"什么时候降价,新品是40-514 4200/2/250/512独,价格比404还低!!!!",降价 新品 价格比,pos,"[(0, 0.49933946), (1, 0.042100295), (2, 0.3327558), (3, 0.041889533), (4, 0.04212293), (5, 0.041791968)]",0
本本很不错 性价比高 貌似的显卡没有的强主要看上发热小,本本 不错 性价比 貌似 显卡 发热,pos,"[(0, 0.023921615), (1, 0.024032978), (2, 0.87969476), (3, 0.024216652), (4, 0.023948183), (5, 0.024185836)]",2
经典的外观，比较好看，配置在这个价位也是相当不错了，45的加独显,经典 外观 好看 配置 价位 不错 的加 独显,pos,"[(0, 0.448232), (1, 0.01873862), (2, 0.01881531), (3, 0.018775037), (4, 0.018662712), (5, 0.47677636)]",5
银色的触摸区很时尚，视觉上本本显得要娇小些。机器配置比较强大，个人办公足够用了,银色 触摸 时尚 视觉 本本 显得 娇小 机器配置 强大 办公 足够,pos,"[(0, 0.01396598), (1, 0.014002533), (2, 0.014143321), (3, 0.9299103), (4, 0.013928513), (5, 0.014049323)]",3
"相对其他一线品牌价格低,配置也均衡,很容易装,跟普通装电脑没两量,给后来买的朋友一点建议吧,用深度的,按2进入,设置光驱启动,这个懂吧/然后跟平时安装差不多,可能大家用比较多,关于分区安装盘微软已经自带了,很方便,关键安装的光盘要带口的驱程,建议用深度6或者雨林,其他驱程网上很多,不行的话查的 网站,不懂的话我.",一线品牌 价格低 配置 均衡 电脑 两量 朋友 一点 建议 深度 设置 光驱 启动 平时 安装 分区 安装盘 微软 自带 关键 安装 光盘 驱程 建议 深度 雨林 驱程 网上 不行 网站,pos,"[(5, 0.9729456)]",5
键盘手感很舒适，触摸屏设计独特，比较人性化，机器配置相对高，性价比不错！！值得推荐！~~~~~~,键盘 手感 舒适 触摸屏 设计 独特 人性化 机器配置 性价比 不错 值得 推荐,pos,"[(0, 0.49298254), (1, 0.012903085), (2, 0.45530242), (3, 0.012973792), (4, 0.012863227), (5, 0.012974903)]",0
附加设备都有了，散热还过的去，装很顺利，驱动官网都有，快捷都可以使用，个人感觉的够用了。,附加 设备 散热 顺利 驱动 官网 快捷 个人感觉 够用,pos,"[(0, 0.016864128), (1, 0.01685422), (2, 0.01682813), (3, 0.016708322), (4, 0.016698336), (5, 0.9160469)]",5
本本很漂亮，外观不错，配置也不错，但是拿货的时候没注意，在本的下方掉了一小块漆，想着都已经把本本拿走了，估计人家也不会管了，好在不是很明显，总体还。,本本 很漂亮 外观 不错 配置 不错 拿货 下方 一小块 想着 本本 拿走 估计 总体,pos,"[(0, 0.011158244), (1, 0.011158758), (2, 0.9441558), (3, 0.0111960145), (4, 0.011155154), (5, 0.011176012)]",2
"预装的是,不是，给客服打电话说不能换操作系统，要不就不保修了，哪有这样的道理",预装 客服 打电话 操作系统 保修 道理,pos,"[(0, 0.8799157), (1, 0.024102459), (2, 0.023982162), (3, 0.023911815), (4, 0.023900727), (5, 0.024187148)]",0
